baseline,mean_delta,median_delta,wins/ties/losses
BSS-ZSEn,0.1930400000000027,0.19935000000000258,7/1/2
ImageNet Dataset Cache,0.1842100000000027,0.18125000000000213,8/0/2
Fixed Raw w0.50,0.18058999999999975,0.2045500000000029,8/0/2
