dataset,seed,shots,method,acc
caltech101,2,4,rn50_only,85.08474230766296
caltech101,2,4,rn101_only,88.71670365333557
caltech101,2,4,vit_b32_only,90.99273085594177
caltech101,2,4,vit_b16_only,93.07505488395691
caltech101,2,4,log_avg,93.55931878089905
caltech101,2,4,emrc_raw_logit_route_beta1.00,93.60774755477905
caltech101,2,4,nlc_original_train_aligned_beta0.00,94.23728585243225
caltech101,2,4,nlc_emrc_train_aligned_beta0.02,94.18885707855225
caltech101,2,4,nlc_emrc_train_aligned_beta0.05,94.28570866584778
caltech101,2,4,nlc_emrc_train_aligned_beta0.10,94.38256621360779
caltech101,2,4,nlc_emrc_train_aligned_beta0.20,94.28570866584778
caltech101,2,4,nlc_emrc_train_aligned_beta0.30,94.18885707855225
