dataset,seed,shots,method,acc
oxford_flowers,2,8,rn50_only,50.394654273986816
oxford_flowers,2,8,rn101_only,56.466299295425415
oxford_flowers,2,8,vit_b32_only,55.0091028213501
oxford_flowers,2,8,vit_b16_only,65.02732038497925
oxford_flowers,2,8,log_avg,67.03096032142639
oxford_flowers,2,8,emrc_raw_logit_route_beta1.00,68.91317367553711
oxford_flowers,2,8,nlc_original_train_aligned_beta0.00,67.6988422870636
oxford_flowers,2,8,nlc_emrc_train_aligned_beta0.02,67.51669645309448
oxford_flowers,2,8,nlc_emrc_train_aligned_beta0.05,67.5774097442627
oxford_flowers,2,8,nlc_emrc_train_aligned_beta0.10,67.45597720146179
oxford_flowers,2,8,nlc_emrc_train_aligned_beta0.20,67.88099408149719
oxford_flowers,2,8,nlc_emrc_train_aligned_beta0.30,68.30601096153259
