dataset,seed,shots,method,acc
fgvc_aircraft,3,2,rn50_only,12.511970102787018
fgvc_aircraft,3,2,rn101_only,14.45898562669754
fgvc_aircraft,3,2,vit_b32_only,15.671880543231964
fgvc_aircraft,3,2,vit_b16_only,22.08745628595352
fgvc_aircraft,3,2,log_avg,21.449090540409088
fgvc_aircraft,3,2,emrc_raw_logit_route_beta1.00,22.08745628595352
fgvc_aircraft,3,2,nlc_original_train_aligned_beta0.00,22.82157689332962
fgvc_aircraft,3,2,nlc_emrc_train_aligned_beta0.02,23.20459634065628
fgvc_aircraft,3,2,nlc_emrc_train_aligned_beta0.05,23.58761578798294
fgvc_aircraft,3,2,nlc_emrc_train_aligned_beta0.10,24.002553522586823
fgvc_aircraft,3,2,nlc_emrc_train_aligned_beta0.20,24.257899820804596
fgvc_aircraft,3,2,nlc_emrc_train_aligned_beta0.30,24.066390097141266
