dataset,seed,shots,method,acc
ucf101,3,8,rn50_only,49.915966391563416
ucf101,3,8,rn101_only,56.43697381019592
ucf101,3,8,vit_b32_only,58.65546464920044
ucf101,3,8,vit_b16_only,64.53781723976135
ucf101,3,8,log_avg,65.00840187072754
ucf101,3,8,emrc_raw_logit_route_beta1.00,65.61344861984253
ucf101,3,8,nlc_original_train_aligned_beta0.00,66.48739576339722
ucf101,3,8,nlc_emrc_train_aligned_beta0.02,66.52100682258606
ucf101,3,8,nlc_emrc_train_aligned_beta0.05,66.45378470420837
ucf101,3,8,nlc_emrc_train_aligned_beta0.10,66.48739576339722
ucf101,3,8,nlc_emrc_train_aligned_beta0.20,66.18487238883972
ucf101,3,8,nlc_emrc_train_aligned_beta0.30,66.38655662536621
