dataset,seed,shots,method,acc
ucf101,3,1,rn50_only,49.45681691169739
ucf101,3,1,rn101_only,56.219446659088135
ucf101,3,1,vit_b32_only,58.63661170005798
ucf101,3,1,vit_b16_only,64.09560441970825
ucf101,3,1,log_avg,64.63878750801086
ucf101,3,1,emrc_raw_logit_route_beta1.00,65.34492373466492
ucf101,3,1,nlc_original_train_aligned_beta0.00,65.31776189804077
ucf101,3,1,nlc_emrc_train_aligned_beta0.02,65.4263973236084
ucf101,3,1,nlc_emrc_train_aligned_beta0.05,65.4263973236084
ucf101,3,1,nlc_emrc_train_aligned_beta0.10,65.31776189804077
ucf101,3,1,nlc_emrc_train_aligned_beta0.20,64.99185562133789
ucf101,3,1,nlc_emrc_train_aligned_beta0.30,64.91037607192993
